2022-11-10 20:26:18,219 | INFO     | 0404 | START input
2022-11-10 20:26:18,220 | INFO     | 0446 | Waiting from keyboard
2022-11-10 20:26:47,169 | INFO     | 0460 | USR: nicolas
2022-11-10 20:26:47,169 | INFO     | 0477 | Saving result in: nombre
2022-11-10 20:26:47,170 | INFO     | 0482 | ENDS input
2022-11-10 20:26:47,176 | INFO     | 0404 | START input
2022-11-10 20:26:47,178 | INFO     | 0446 | Waiting from keyboard
2022-11-10 20:26:47,501 | INFO     | 0460 | USR: a
2022-11-10 20:26:47,501 | INFO     | 0477 | Saving result in: malestar
2022-11-10 20:26:47,501 | INFO     | 0482 | ENDS input
2022-11-10 20:26:47,508 | INFO     | 0404 | START input
2022-11-10 20:26:47,509 | INFO     | 0446 | Waiting from keyboard
2022-11-10 20:26:47,793 | INFO     | 0460 | USR: a
2022-11-10 20:26:47,793 | INFO     | 0477 | Saving result in: pensamientos
2022-11-10 20:26:47,793 | INFO     | 0482 | ENDS input
2022-11-10 20:26:47,798 | INFO     | 0404 | START input
2022-11-10 20:26:47,800 | INFO     | 0446 | Waiting from keyboard
2022-11-10 20:26:47,988 | INFO     | 0460 | USR: a
2022-11-10 20:26:47,989 | INFO     | 0477 | Saving result in: acuerdo
2022-11-10 20:26:47,989 | INFO     | 0482 | ENDS input
