2022-11-11 14:38:52,186 | INFO     | 0226 | Setting strategy: saludo
2022-11-11 14:38:52,187 | INFO     | 0226 | Setting strategy: nombre
2022-11-11 14:38:52,187 | INFO     | 0226 | Setting strategy: malestar
2022-11-11 14:38:52,187 | INFO     | 0226 | Setting strategy: origen
2022-11-11 14:38:52,187 | INFO     | 0226 | Setting strategy: pensamiento
2022-11-11 14:38:52,187 | INFO     | 0226 | Setting strategy: emociones
2022-11-11 14:38:52,187 | INFO     | 0226 | Setting strategy: acuerdo
2022-11-11 14:38:52,187 | INFO     | 0263 | Loading IS : conversations/ansiedad/is.json
2022-11-11 14:38:52,188 | INFO     | 0486 | STARTS loop_sloots
2022-11-11 14:38:52,197 | INFO     | 0404 | START input
2022-11-11 14:38:52,197 | INFO     | 0446 | Waiting from keyboard
2022-11-11 14:38:52,622 | INFO     | 0460 | USR: a
2022-11-11 14:38:52,623 | INFO     | 0477 | Saving result in: origen
2022-11-11 14:38:52,623 | INFO     | 0482 | ENDS input
2022-11-11 14:38:52,627 | INFO     | 0404 | START input
2022-11-11 14:38:52,628 | INFO     | 0446 | Waiting from keyboard
2022-11-11 14:38:52,978 | INFO     | 0460 | USR: a
2022-11-11 14:38:52,978 | INFO     | 0477 | Saving result in: pensamiento
2022-11-11 14:38:52,978 | INFO     | 0482 | ENDS input
2022-11-11 14:38:52,981 | INFO     | 0404 | START input
2022-11-11 14:38:52,982 | INFO     | 0446 | Waiting from keyboard
2022-11-11 14:38:53,272 | INFO     | 0460 | USR: a
2022-11-11 14:38:53,272 | INFO     | 0477 | Saving result in: emociones
2022-11-11 14:38:53,273 | INFO     | 0482 | ENDS input
2022-11-11 14:38:53,285 | INFO     | 0404 | START input
2022-11-11 14:38:53,287 | INFO     | 0446 | Waiting from keyboard
2022-11-11 14:38:53,636 | INFO     | 0460 | USR: a
2022-11-11 14:38:53,636 | INFO     | 0477 | Saving result in: acuerdo
2022-11-11 14:38:53,636 | INFO     | 0482 | ENDS input
2022-11-11 14:38:53,637 | INFO     | 0489 | ENDS loop_sloots
2022-11-11 14:38:53,645 | INFO     | 0404 | START input
2022-11-11 14:38:53,646 | INFO     | 0446 | Waiting from keyboard
2022-11-11 14:38:56,483 | INFO     | 0460 | USR: a
2022-11-11 14:38:56,484 | INFO     | 0477 | Saving result in: nombre
2022-11-11 14:38:56,484 | INFO     | 0482 | ENDS input
2022-11-11 14:38:56,489 | INFO     | 0404 | START input
2022-11-11 14:38:56,491 | INFO     | 0446 | Waiting from keyboard
2022-11-11 14:38:57,504 | INFO     | 0460 | USR: a
2022-11-11 14:38:57,504 | INFO     | 0477 | Saving result in: malestar
2022-11-11 14:38:57,505 | INFO     | 0482 | ENDS input
2022-11-11 14:38:57,511 | INFO     | 0404 | START input
2022-11-11 14:38:57,512 | INFO     | 0446 | Waiting from keyboard
2022-11-11 14:38:58,920 | INFO     | 0460 | USR: a
2022-11-11 14:38:58,921 | INFO     | 0477 | Saving result in: origen
2022-11-11 14:38:58,921 | INFO     | 0482 | ENDS input
2022-11-11 14:38:58,922 | INFO     | 0404 | START input
2022-11-11 14:38:58,923 | INFO     | 0446 | Waiting from keyboard
2022-11-11 14:38:59,450 | INFO     | 0460 | USR: a
2022-11-11 14:38:59,451 | INFO     | 0477 | Saving result in: pensamiento
2022-11-11 14:38:59,451 | INFO     | 0482 | ENDS input
2022-11-11 14:38:59,453 | INFO     | 0404 | START input
2022-11-11 14:38:59,454 | INFO     | 0446 | Waiting from keyboard
2022-11-11 14:38:59,843 | INFO     | 0460 | USR: a
2022-11-11 14:38:59,843 | INFO     | 0477 | Saving result in: emociones
2022-11-11 14:38:59,843 | INFO     | 0482 | ENDS input
2022-11-11 14:38:59,855 | INFO     | 0404 | START input
2022-11-11 14:38:59,856 | INFO     | 0446 | Waiting from keyboard
2022-11-11 14:39:00,224 | INFO     | 0460 | USR: a
2022-11-11 14:39:00,225 | INFO     | 0477 | Saving result in: acuerdo
2022-11-11 14:39:00,225 | INFO     | 0482 | ENDS input
